subject,question,optionA,optionB,optionC,optionD,answer
Mathematics,What is 15 + 8?,21,22,23,24,C
Mathematics,What is 30 - 12?,16,17,18,19,C
Mathematics,What is 7 x 6?,36,42,48,56,B
Mathematics,What is 81 divided by 9?,7,8,9,10,C
Mathematics,What is 12 x 5?,50,55,60,65,C
Mathematics,What is 100 - 45?,45,50,55,60,C
Mathematics,What is 9 x 8?,64,72,81,88,B
Mathematics,What is 56 divided by 7?,6,7,8,9,C
Mathematics,What is 25 + 37?,52,60,62,72,C
Mathematics,What is 14 x 3?,32,42,44,52,B
Mathematics,What is 90 divided by 10?,8,9,10,11,C
Mathematics,What is 11 x 11?,111,121,131,141,B
Mathematics,What is 75 - 28?,43,45,47,49,C
Mathematics,What is 6 x 12?,62,68,72,78,C
Mathematics,What is 144 divided by 12?,10,11,12,13,C
Mathematics,What is 18 + 29?,37,47,49,57,B
Mathematics,What is 13 x 4?,42,48,52,56,C
Mathematics,What is 64 divided by 8?,6,7,8,9,C
Mathematics,What is 200 - 125?,65,70,75,85,C
Mathematics,What is 16 + 24?,30,36,40,44,C
